method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,False,4.521324634552002,True,,0.0,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941,0.0,0.0,0.0,0.0,0.0,0.0
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,True,4.521324634552002,True,0.6240196228027344,26.909448623657227,8295.517578125,18.323868684145722,0.7960232822325354,0.3230590224266052,-0.056905901103824874,2.048880523534475,0.011678021801741933,0.01978773543360357,-0.054683148860931396,0.09229966998100281
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,False,4.521324634552002,True,0.0,0.0,0.0,18.397926035745634,0.7901511797925224,0.3726913630962372,0.0,2.2244357896695703,0.0,0.010614265733851491,0.0,0.14624792337417603
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,False,4.521324634552002,True,0.0,0.0,0.0,18.43517622396534,0.792569623516297,0.37328189611434937,0.0,2.2301445213592217,0.0,0.011714155716203822,0.0,0.1501513123512268
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,False,4.521324634552002,True,0.0,0.0,0.0,18.305997825513693,0.7901818897536002,0.38248443603515625,0.0,2.1930426512215178,0.0,0.01215458341690645,0.0,0.1584969162940979
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,False,4.521324634552002,True,0.0,0.0,0.0,18.442813513408492,0.7920176135812449,0.3723565638065338,0.0,2.245229641925448,0.0,0.013319979088597056,0.0,0.1499435007572174
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,False,4.521324634552002,True,0.0,0.0,0.0,18.374104791828067,0.7908164753891288,0.3756115138530731,0.0,2.225265989463523,0.0,0.014186378242502573,0.0,0.15188068151474
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,False,4.521324634552002,True,0.0,0.0,0.0,18.479494193984486,0.7905097128413918,0.3711719214916229,0.0,2.2820870646620293,0.0,0.015240799497735158,0.0,0.1472100168466568
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,True,4.521324634552002,True,0.6223039031028748,26.719257354736328,8113.2314453125,18.211710276822544,0.7964306136678626,0.3360651135444641,-0.04654559249108203,2.167819010113547,0.009975250261276658,0.02515291045902468,-0.049695730209350586,0.10857447981834412
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,False,4.521324634552002,True,0.0,0.0,0.0,18.45709521653598,0.7872462658210383,0.3715718388557434,0.0,2.2911796156093764,0.0,0.01623087208063212,0.0,0.1437200903892517
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,False,4.521324634552002,True,0.0,0.0,0.0,18.231247540995014,0.7822240170931138,0.3817782402038574,0.0,2.222071791396665,0.0,0.015659050349060344,0.0,0.15097177028656006
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,False,4.521324634552002,True,0.0,0.0,0.0,18.34292655027578,0.7806586200240601,0.3741006851196289,0.0,2.2548979071249633,0.0,0.01574771747600079,0.0,0.14522458612918854
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,False,4.521324634552002,True,0.0,0.0,0.0,18.20200512878322,0.7801243921217557,0.39121079444885254,0.0,2.21017720041489,0.0,0.015176360727060745,0.0,0.1609826385974884
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,False,4.521324634552002,True,0.0,0.0,0.0,18.319072531319918,0.7793700647009189,0.379841685295105,0.0,2.264171974332765,0.0,0.01614687305811413,0.0,0.1492108404636383
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,False,4.521324634552002,True,0.0,0.0,0.0,18.146092119564955,0.7741065868825544,0.3867919147014618,0.0,2.189143335317766,0.0,0.01563480557227881,0.0,0.15334022045135498
train6_CODED_WRONG_l2,WRONG_QUANTIZED,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,True,4.521324634552002,True,0.6299019455909729,27.017980575561523,8475.9384765625,18.11624423186288,0.7800094948784883,0.33271363377571106,-0.05910589044710335,2.125835278286063,0.009074843966456414,0.024616403591324998,-0.04959791898727417,0.0989324301481247
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,False,4.521324634552002,True,,0.0,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976,0.0,0.0,0.0,0.0,0.0,0.0
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,True,4.521324634552002,True,0.770588219165802,27.143903732299805,14463.623046875,28.936784536484296,0.8952820637463529,0.15631221234798431,-0.27800756312814556,1.0441082172999856,0.0004245451732562966,0.00025338524852647204,-0.027664408087730408,0.004789754748344421
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,False,4.521324634552002,True,0.0,0.0,0.0,29.438665525797422,0.8986678714531783,0.1743094027042389,0.0,1.5728113343802015,0.0,0.001899313144867465,0.0,0.029504895210266113
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,False,4.521324634552002,True,0.0,0.0,0.0,29.58853546358961,0.9014633047232102,0.16605447232723236,0.0,1.7369552082472381,0.0,0.004794539638815265,0.0,0.022920548915863037
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,False,4.521324634552002,True,0.0,0.0,0.0,29.541651512212134,0.9011842587131055,0.17556102573871613,0.0,1.6413207753193788,0.0,0.0031992653065562315,0.0,0.034521251916885376
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,False,4.521324634552002,True,0.0,0.0,0.0,29.740724867175054,0.9048725459992767,0.17001351714134216,0.0,1.8421626494262,0.0,0.005230437149017719,0.0,0.02949218451976776
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,False,4.521324634552002,True,0.0,0.0,0.0,29.70850981039881,0.9040085056003155,0.17246824502944946,0.0,1.8268387118397484,0.0,0.005231365771292684,0.0,0.031521692872047424
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,False,4.521324634552002,True,0.0,0.0,0.0,29.88227464665563,0.907228311392009,0.16594964265823364,0.0,2.03208728613809,0.0,0.007822057096166568,0.0,0.023453176021575928
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,True,4.521324634552002,True,0.7848039269447327,27.811120986938477,15009.021484375,29.18939593975068,0.9010791037089904,0.1496978998184204,-0.43685349016050523,1.4778979474739877,-0.0020276632794899996,0.004944692668002126,-0.030165627598762512,0.004071250557899475
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,False,4.521324634552002,True,0.0,0.0,0.0,29.85625296422321,0.9069215499621389,0.16979053616523743,0.0,2.140806115510955,0.0,0.009206589929667164,0.0,0.024066418409347534
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,False,4.521324634552002,True,0.0,0.0,0.0,29.599285359420456,0.9024184849040671,0.18107970058918,0.0,1.9664721089634156,0.0,0.006953316465566739,0.0,0.03348831832408905
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,False,4.521324634552002,True,0.0,0.0,0.0,29.558622688575916,0.901577281520613,0.17961841821670532,0.0,2.025103048968518,0.0,0.007390651889526145,0.0,0.030980318784713745
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,False,4.521324634552002,True,0.0,0.0,0.0,29.540855907389933,0.9011635598381732,0.17763151228427887,0.0,2.030106734063697,0.0,0.007324754103901876,0.0,0.02885076403617859
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,False,4.521324634552002,True,0.0,0.0,0.0,29.628058261314017,0.9027434687834882,0.17320823669433594,0.0,2.1741871714110346,0.0,0.009677261219885325,0.0,0.022461116313934326
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,False,4.521324634552002,True,0.0,0.0,0.0,29.383348837585366,0.898489986947876,0.18254341185092926,0.0,2.041786595706146,0.0,0.008862154943993006,0.0,0.029543310403823853
train6_CODED_WRONG_l2,WRONG_QUANTIZED,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,True,4.521324634552002,True,0.8046568632125854,27.751880645751953,15172.43359375,28.938493075310916,0.8961086531028234,0.15390676259994507,-0.36701304544311597,1.657769449862382,-0.0015667203062275092,0.006882790421338436,-0.027461737394332886,0.000802263617515564
