dataset,video,video_id,video_tag,test_group,method,stage,beta,checkpoint,checkpoint_sha256,qp,num_frames,fps,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite,reconstruction_sha256,FloLPIPS,feature_path,feature_sha256,num_transitions,metric_decode_pass,split,step,video_index,real_bytes,provenance,metric_audit_sha256,reuse_failure_reason,manifest_sha256,frame_metrics_path,frame_metrics_sha256,position_decode_pass
fresh_ulong,fresh_ulong_00,0,fresh_ulong_00,original_v2_test,original,original,none,,,0,64,30.0,47024,376192,0.0028346836419753086,176.34,2160712.4921875,0.00542713681366218,22.65429230075288,0.9679370699450374,0.8605545097962022,0.16652561782393605,0.09301046747714281,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp0.bin,5cc416a794a5e1045149867084a2d698d060296238df212bbe2cc05171c6961f,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,47024,PASS,True,True,1e288052af3c374b040867136bb8915a0950613efdb104a53b28bdfc2360761e,0.1614584911555525,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_0_qp0.npz,a0a7b3a4939de539d23f6d20b37c577bc303c84bbb2eb2c4cb23271dca73ec1f,63,True,final,0,0,47024,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_0_qp0.frames.csv,e038438582e1d55d544d824cce29b85231b1a8cc96e017ed4aa97946c6d7149d,True
fresh_ulong,fresh_ulong_00,0,fresh_ulong_00,original_v2_test,original,original,none,,,1,64,30.0,57653,461224,0.003475417148919753,216.19875,1924817.673828125,0.0048346315833276195,23.15636615153688,0.971456041559577,0.8729848386719823,0.15376342937815934,0.08793372195214033,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp1.bin,fc99a3ab6fe7472249a201022d1d522e575a4aa3f13271cfc5cf37505355cca6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,57653,PASS,True,True,f24362ac6976ef77e32829d50fa72154629aa46f0b0a50e0c33ade02b09ec97f,0.14516027254008113,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_0_qp1.npz,352092671b40298de840e49177383341ecc0b18488df5124a3973fc27816c962,63,True,final,0,0,57653,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_0_qp1.frames.csv,5a5e4d3ff50e7dc335943e796501dc60382b77b492a68f84e72df32cd159d6a4,True
fresh_ulong,fresh_ulong_00,0,fresh_ulong_00,original_v2_test,original,original,none,,,2,64,30.0,76829,614632,0.004631377797067901,288.10875,1614713.5146484375,0.004055732167306751,23.919307326937993,0.9761974522843957,0.893662822432816,0.1305051976814866,0.07781535759568214,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp2.bin,8803aa44de557839d7f6f3261007e8c5e0919f7bf1a25e1f86abac81ae8c9e83,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,76829,PASS,True,True,0f7148db08b93c7fc8de4555ff781b96d675d66763da32c0daca3373791ffc6d,0.12449440862687808,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_0_qp2.npz,a255f5befe6370d1bc0b0cb6e7dc3e474b8bd9701218dcb58f898eb0dfbb609c,63,True,final,0,0,76829,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_0_qp2.frames.csv,3b82be50768159645017073985bde2c255d0a63ac89d9e5971c28a15fecfa264,True
fresh_ulong,fresh_ulong_00,0,fresh_ulong_00,original_v2_test,original,original,none,,,3,64,30.0,96549,772392,0.005820131655092592,362.05875,1422782.962890625,0.003573653516455442,24.46887556806852,0.9791335090994835,0.9062660690397024,0.11635798751376569,0.07021369971334934,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_00/original_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,96549,PASS,True,True,ad147f14cf9201073b15f90a788641fceed4899ec6e2bcf0044a3153ba274f23,0.11185353024611397,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_0_qp3.npz,b1fd53fcc6ca7042d9ba3bc189836d75ef7495a70ff6599eb51d8b28dfe6ab1e,63,True,final,0,0,96549,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_0_qp3.frames.csv,f792264610a76bca5c7ec34005a4c78de2f1de4b58409cb1199807b268e76853,True
fresh_ulong,fresh_ulong_01,1,fresh_ulong_01,original_v2_test,original,original,none,,,0,64,29.97002997002997,41938,335504,0.002528091242283951,157.1103896103896,633371.3994140625,0.001590861001132447,27.983677644629733,0.9740485977381468,0.898619906976819,0.15226008952595294,0.104271843098104,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp0.bin,7f739f71db1a1ee125aa4731ee337c022cbb99fe12dfaa13f5b963b99765e835,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,41938,PASS,True,True,79f2f77cb5af2e30925ed2aa41704a39992700ca685dd83c4f990ef6a5b1ebc2,0.16554855779995994,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_1_qp0.npz,0677ee39aee5c5fe482fe865221e2673be3d3c29844d60d9f819d734deba90a9,63,True,final,0,1,41938,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_1_qp0.frames.csv,9617c6cfb10b7d88a81ef91ab07208b01b5329bca006681e19b895c76b5eb381,True
fresh_ulong,fresh_ulong_01,1,fresh_ulong_01,original_v2_test,original,original,none,,,1,64,29.97002997002997,52078,416624,0.0031393470293209877,195.0974025974026,533011.6313476562,0.0013387838766408065,28.732895266160924,0.9780091196298599,0.9124371213838458,0.13170657213777304,0.09059106092900038,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp1.bin,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,52078,PASS,True,True,7660b593ac42043180455bf18fa23e193c125365519a0427dee9da372c1065ad,0.14214420034771874,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_1_qp1.npz,c7064de7bf3be2730d98cea981be2bf28a3dbca72d2065f1eebc5320b5d1e52a,63,True,final,0,1,52078,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_1_qp1.frames.csv,f640ce533e8a4ba7de4ae09f4bc3941e441ef710084a440ea782a0c05c96858b,True
fresh_ulong,fresh_ulong_01,1,fresh_ulong_01,original_v2_test,original,original,none,,,2,64,29.97002997002997,64056,512448,0.0038614004629629627,239.97002997002997,463097.66748046875,0.001163178538834607,29.343536193389646,0.9808490825816989,0.9224591692909598,0.11544713017065078,0.0836072014644742,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp2.bin,aecf25a645ae859999c9339f55b2b2dc923d6530be3a40c81f106d257f2b76da,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,64056,PASS,True,True,8b3f2745de982f2ca4793d1f1df21a39645d3d71c708322fac4234572c92763b,0.12461736656370617,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_1_qp2.npz,b620e622fed16bfec293f05a7313fe4adf7d6c824229f727f1b81bacf96e658b,63,True,final,0,1,64056,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_1_qp2.frames.csv,7eed0b24fd0f60213caa4c151731c989bb79f2dd0f864a94665c8f032a0cc9c3,True
fresh_ulong,fresh_ulong_01,1,fresh_ulong_01,original_v2_test,original,original,none,,,3,64,29.97002997002997,78986,631888,0.004761405285493827,295.9015984015984,397163.10986328125,0.000997568414289765,30.01057310248065,0.983530942350626,0.9319492587819695,0.10236039548180997,0.07474138494580984,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_01/original_qp3.bin,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,78986,PASS,True,True,c3a50f2e0b591051144cc43968830176fb6b7e95eadd6f1ec9d5deb05b3d77d9,0.11061231437183562,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_1_qp3.npz,7e7d6b4e1d49e10d6404944d4a4d47320688fa1ce3d0a9da0c3d33a2a28bce06,63,True,final,0,1,78986,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_1_qp3.frames.csv,1328e4a86b68a942b7cf17cb294474cf90fad39c8d92ab983f48ff8bd958306f,True
fresh_ulong,fresh_ulong_10,10,fresh_ulong_10,original_v2_test,original,original,none,,,0,64,29.97002997002997,27630,221040,0.0016655815972222222,103.50899100899102,629897.6684570312,0.0015821359101146338,28.00756212066195,0.9759022165089846,0.9544752910733223,0.08790032682009041,0.08626880310475826,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp0.bin,622f3e7de4baff153464ece8afe4e23d32236f3be6b4dd272f2a22258874eff3,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,27630,PASS,True,True,5311062a387a3c29b15c675c187fa1b4e37f5541b239e7c59663aa6fcd318029,0.06978044097149183,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_2_qp0.npz,cd22806e064991455e7a7d1622a17d8848777346acba855666a1a2701b6323f9,63,True,final,0,2,27630,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_2_qp0.frames.csv,ae8b6696d64470a72f559bb6a311f409aa5736e8c3c39f4f59616e11d5e03adf,True
fresh_ulong,fresh_ulong_10,10,fresh_ulong_10,original_v2_test,original,original,none,,,1,64,29.97002997002997,35312,282496,0.00212866512345679,132.28771228771228,557273.625,0.0013997235710238233,28.539577239164764,0.978663126938045,0.9601149633526802,0.07801714935339987,0.07741482742130756,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp1.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,35312,PASS,True,True,0176341ed66f06a5b14ea665611715099ce60720c7105fccce18540360806049,0.06119585995163236,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v4_1_high_convergence_metrics/features/final/original/video_2_qp1.npz,9d0ea037da19b6cd54b17f8e65d60284de59d94450ba935cc0c4bb738393fd09,63,True,final,0,2,35312,reuse V4.1 verified manifest/checkpoint/protocol/stream/features; new position decode,cedbc8f5f3f2d187b7a139b611a7eb2e51b5262f9ec9780fc23a0ead0d665513,,e7835240c86d5b6529252dba4d7f9fd49ca1953fc934792bc3d20b2f915713bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v5a_clip_ablation/parts/final/original/video_2_qp1.frames.csv,04edcd0b612ea89ef83cc6349bd8e28f9503a55c8fbfa0948020b1f1b78d1321,True
