dataset,video,video_id,qp,branch,beta,frame,actual_qp,actual_bytes,MSE,PSNR,SSIM,LPIPS,DISTS,stream_status,frame_type
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,0,1,5095,0.009795771911740303,20.089613356977736,0.9629908800125122,0.22526639699935913,0.06786137819290161,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,1,3,5792,0.006142152938991785,22.116793738692998,0.974795401096344,0.17551560699939728,0.0611228346824646,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,2,1,1252,0.005949847865849733,22.254941387868556,0.9745972156524658,0.16906464099884033,0.057341575622558594,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,3,2,928,0.006025309208780527,22.200206609155224,0.9730909466743469,0.17123544216156006,0.057445228099823,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,4,1,1418,0.00581813370808959,22.352163023364255,0.9714444279670715,0.17919132113456726,0.057444870471954346,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,5,2,1401,0.005598277784883976,22.519455557717592,0.970104992389679,0.18050014972686768,0.05904090404510498,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,6,1,1162,0.005648292601108551,22.480828134160046,0.9669815897941589,0.18450647592544556,0.059800028800964355,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,7,2,949,0.0054695517756044865,22.620482622145698,0.9651564359664917,0.18883861601352692,0.0615006685256958,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,8,1,486,0.0056851408444345,22.452587715737813,0.9606779217720032,0.20224282145500183,0.06589102745056152,BASELINE_VALIDATED,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,,9,3,1151,0.0055651580914855,22.54522493991523,0.9578330516815186,0.20724405348300934,0.0664823055267334,BASELINE_VALIDATED,
