split,candidate,lambda,sample,video,frame,step,init_source,nonzero_symbols,packet_bytes,frame_share_bytes,elapsed_seconds,integer_symbol_sha256,residual_linf,mse,psnr,ms_ssim,lpips,d,selection_objective,checkpoint,selected_by_lambda
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0007,c227e33d-910e-4e39-a325-0fe1d1116436,7,0,zero,0,1,7.333333333333333,0.27344276010990143,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.001641723081928215,27.84700095774876,0.8993879457253562,0.14244599640369415,0.001784169078331909,0.00178683773362231,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0007/step_000.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0007,c227e33d-910e-4e39-a325-0fe1d1116436,7,25,zero,0,1,7.333333333333333,4.642054237425327,ea57129a181083808880401faeb2d2ff1c145e81226b9d9321f80cc1da296164,0.0,0.001641723081928215,27.84700095774876,0.8993879457253562,0.14244599640369415,0.001784169078331909,0.00178683773362231,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0007/step_025.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0007,c227e33d-910e-4e39-a325-0fe1d1116436,7,50,zero,832,551,557.3333333333334,11.714557401835918,a3913d0a34f0191a104bde7b943c3f77caaf32e795119a971cabb2b88dc38141,0.25425243377685547,0.0016133835380750874,27.922623786312005,0.8995767013206017,0.15823887288570404,0.0017716224109607915,0.001974440213031266,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0007/step_050.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0007,c227e33d-910e-4e39-a325-0fe1d1116436,7,100,zero,694,502,508.3333333333333,25.437123149633408,3446dcf8cd7fc2f7d6dbf23bc5468e2bc9196a12045792b9913d47dde13dd97a,0.4594653844833374,0.0012236622562168962,29.123384355418402,0.90562879058318,0.14861823618412018,0.0013722804924010163,0.0015572668250310843,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0007/step_100.pt,False
Train2,O1,0.09432483426435467,c227e33d-910e-4e39-a325-0fe1d1116436_f0007,c227e33d-910e-4e39-a325-0fe1d1116436,7,150,zero,816,538,544.3333333333334,39.609464928507805,dd78bbe305e53a5be40c31faf48b49644e864abaa760291d1812bb22da0dbbe1,0.5742006301879883,0.001113722492125125,29.532230094787945,0.9062826342067639,0.1477910727262497,0.0012615135648513748,0.0014596005689070477,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_7_original_anchor/results_v1/optimizations/Train2/O1/c227e33d-910e-4e39-a325-0fe1d1116436_f0007/step_150.pt,True
